id;fecha_ingreso;fecha_modificacion;id_user_modifica;id_user_Asingnado;crado_por;name;parent_id;TipoEmpresa;Empresa;ingreso_anual;fono;address_street;city;estado;postalcode;pais;description;rating;phone_office ;phone_alternat;email1;email2;website;ownership;employees;sic_code;ticker_symbol;shipping_address_street;shipping_address_city;shipping_address_state;shipping_address_postalcode;shipping_address_country;deleted
a69dae1f-b2ee-1257-3895-438dfb8ea964;30-11-2005 19:19;30-11-2005 19:19;1;beth_id;1;Alpha-Murraiin Communications, Inc;;Manufacturing;Communications;;;5423 Camby Rd.;La Mesa;CA;35890;USA;;;612-555-4878;;;;www.alpha-murraiincommunications,inc.com;;;;;shipping_address_street;La Mesa;CA;35890;USA;0
e908e57d-18d3-5ffa-f6f4-438dfb104441;30-11-2005 19:19;30-11-2005 19:19;1;sarah_id;1;N & W Creek Transportation Corp;;Distribution;Transportation;;;1792 Belmont Rd.;Chula Vista;CA;40520;USA;;;555-555-2714;;;;www.nwcreektransportationcorp.com;;;;;1792 Belmont Rd.;Chula Vista;CA;40520;USA;0
18ae2ab5-0bfd-980d-2519-438dfbda705b;30-11-2005 19:19;30-11-2005 19:19;1;matt_id;1;Creek-Medina Engineering Partners;;Supply;Engineering;;;3796 Keller Ridge;Mexico City;Mexico;59554;Mexico;;;343-555-9778;;;;www.creek-medinaengineeringpartners.com;;;;;3796 Keller Ridge;Mexico City;Mexico;59554;Mexico;0
419aa1b7-1392-c018-5c08-438dfb43dd59;30-11-2005 19:19;30-11-2005 19:19;1;sarah_id;1;O & D Rutledge Communications Associates;;Distribution;Communications;;;3074 Ardith Drive;Lincoln Acres;CA;30346;USA;;;659-555-3160;;;;www.odrutledgecommunicationsassociates.com;;;;;3074 Ardith Drive;Lincoln Acres;CA;30346;USA;0
67c3c020-4ffe-b315-284a-438dfb4cd6d8;30-11-2005 19:19;30-11-2005 19:19;1;sally_id;1;Rutledge-Cavestany Transportation Company;;Consulting;Transportation;;;7987 Seawind Dr.;Oak Bay;BC;15542;Canada;;;471-555-8853;;;;www.rutledge-cavestanytransportationcompany.com;;;;;7987 Seawind Dr.;Oak Bay;BC;15542;Canada;0
8f2b0a70-46e7-f25a-7dcc-438dfbc8112e;30-11-2005 19:19;30-11-2005 19:19;1;sally_id;1;M & Y Planck Communications, Ltd;;Supply;Communications;;;4864 San Carlos;Camacho;Zacatecas;77787;Mexico;;;698-555-7603;;;;www.myplanckcommunications,ltd.com;;;;;4864 San Carlos;Camacho;Zacatecas;77787;Mexico;0
b560e2dc-22bd-6582-bc09-438dfb8ffc59;30-11-2005 19:19;30-11-2005 19:19;1;beth_id;1;Planck-Marshall Communications Associates;;Consulting;Communications;;;2687 Ridge Road;Arcadia;CA;28530;USA;;;771-555-6581;;;;www.planck-marshallcommunicationsassociates.com;;;;;2687 Ridge Road;Arcadia;CA;28530;USA;0
dc2a7c81-a009-cace-2d18-438dfbabf3d5;30-11-2005 19:19;30-11-2005 19:19;1;max_id;1;B & D Wolter Machinery Partners;;Consulting;Machinery;;;2473 Orchard Way;Altadena;CA;49680;USA;;;121-555-3960;;;;www.bdwoltermachinerypartners.com;;;;;2473 Orchard Way;Altadena;CA;49680;USA;0
e2060a5d-c072-69b9-fea6-438dfb520511;30-11-2005 19:19;30-11-2005 19:19;1;sarah_id;1;Wolter-Collins Construction Partners;;Manufacturing;Construction;;;551 Rainier Dr;Oakland;CA;21486;USA;;;217-555-1567;;;;www.wolter-collinsconstructionpartners.com;;;;;551 Rainier Dr;Oakland;CA;21486;USA;0
33919037-63ff-98f9-4447-438dfb5acbdb;30-11-2005 19:19;30-11-2005 19:19;1;kristen_id;1;H & E Baker Machinery Group;;Supply;Machinery;;;591 Merriewood Drive;Spring Valley;CA;88762;USA;;;617-555-7972;;;;www.hebakermachinerygroup.com;;;;;591 Merriewood Drive;Spring Valley;CA;88762;USA;0
